,self,id,description,iconUrl,name,untranslatedName,subtask,avatarId,hierarchyLevel
Design,https://ecosystem.atlassian.net/rest/api/2/issuetype/13932,13932,Design tasks,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15309?size=medium,Design,Design,False,15309.0,0
Listing Management,https://ecosystem.atlassian.net/rest/api/2/issuetype/14266,14266,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15306?size=medium,Listing Management,Listing Management,False,15306.0,0
[System] Incident,https://ecosystem.atlassian.net/rest/api/2/issuetype/14118,14118,For system outages or incidents. Created by Jira Service Management.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/35921?size=medium,[System] Incident,[System] Incident,False,35921.0,0
Purchase,https://ecosystem.atlassian.net/rest/api/2/issuetype/10700,10700,Track items that need to be bought. Created by JIRA Service Desk.,https://ecosystem.atlassian.net/servicedesk/issue-type-icons?icon=purchase,Purchase,Purchase,False,,0
Improvement,https://ecosystem.atlassian.net/rest/api/2/issuetype/4,4,An improvement or enhancement to an existing feature or task.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15310?size=medium,Improvement,Improvement,False,15310.0,0
Pricing,https://ecosystem.atlassian.net/rest/api/2/issuetype/13897,13897,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15316?size=medium,Pricing,Pricing,True,15316.0,-1
Request SLA Extension,https://ecosystem.atlassian.net/rest/api/2/issuetype/13598,13598,Request an extension for security issues breaching SLA.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Request SLA Extension,Request SLA Extension,False,15300.0,0
Developer escalation,https://ecosystem.atlassian.net/rest/api/2/issuetype/18154,18154,To escalate customer support issues to developers. Created by Jira Service Management.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/39195?size=medium,Developer escalation,Developer escalation,False,39195.0,0
PIR Action,https://ecosystem.atlassian.net/rest/api/2/issuetype/14181,14181,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15308?size=medium,PIR Action,PIR Action,False,15308.0,0
Refunds,https://ecosystem.atlassian.net/rest/api/2/issuetype/12900,12900,Review out-of-policy refund,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15314?size=medium,Refunds,Refunds,False,15314.0,0
Application,https://ecosystem.atlassian.net/rest/api/2/issuetype/13783,13783,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15315?size=medium,Application,Application,False,15315.0,0
Workstream,https://ecosystem.atlassian.net/rest/api/2/issuetype/18272,18272,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Workstream,Workstream,False,15300.0,3
Exploration,https://ecosystem.atlassian.net/rest/api/2/issuetype/14211,14211,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/25801?size=medium,Exploration,Exploration,False,25801.0,0
CF Approval Request,https://ecosystem.atlassian.net/rest/api/2/issuetype/14336,14336,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/25802?size=medium,CF Approval Request,CF Approval Request,False,25802.0,0
A/B Test,https://ecosystem.atlassian.net/rest/api/2/issuetype/10000,10000,A/B or other types or tests and experiments,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15314?size=medium,A/B Test,A/B Test,False,15314.0,0
QA Task,https://ecosystem.atlassian.net/rest/api/2/issuetype/10902,10902,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15316?size=medium,QA Task,QA Task,True,15316.0,-1
Emcee Feedback,https://ecosystem.atlassian.net/rest/api/2/issuetype/13101,13101,Emcee Feedback,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15315?size=medium,Emcee Feedback,Emcee Feedback,False,15315.0,0
Forge Initiative,https://ecosystem.atlassian.net/rest/api/2/issuetype/13968,13968,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15309?size=medium,Forge Initiative,Forge Initiative,False,15309.0,2
Knowledge Base Article,https://ecosystem.atlassian.net/rest/api/2/issuetype/11702,11702,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Knowledge Base Article,Knowledge Base Article,False,15300.0,0
Approval Request (Deprecated),https://ecosystem.atlassian.net/rest/api/2/issuetype/18313,18313,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15311?size=medium,Approval Request (Deprecated),Approval Request (Deprecated),False,15311.0,0
Service Request with Approvals,https://ecosystem.atlassian.net/rest/api/2/issuetype/12201,12201,For requests that require approval. Created by JIRA Service Desk,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/35201?size=medium,Service Request with Approvals,Service Request with Approvals,False,35201.0,0
Plugin Release Request,https://ecosystem.atlassian.net/rest/api/2/issuetype/10800,10800,For JIRA Bundled Plugin releases,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Plugin Release Request,Plugin Release Request,False,15300.0,0
Risk,https://ecosystem.atlassian.net/rest/api/2/issuetype/15564,15564,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Risk,Risk,False,15300.0,0
GDPR - Remove User,https://ecosystem.atlassian.net/rest/api/2/issuetype/13164,13164,Issues relating to RtbF,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,GDPR - Remove User,GDPR - Remove User,False,15300.0,0
Incident,https://ecosystem.atlassian.net/rest/api/2/issuetype/13109,13109,For system outages or incidents. Created by Jira Service Desk.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/35711?size=medium,Incident,Incident,False,35711.0,0
